SITE,SITECODE,TREAT,HEIGHT
STEESE,35_3,3,1
STEESE,35_3,3,1
STEESE,35_3,3,22
STEESE,35_3,3,1
STEESE,35_3,3,9
STEESE,35_3,3,1
STEESE,35_3,3,32
STEESE,35_3,3,40
STEESE,35_3,3,4
STEESE,35_3,3,15
STEESE,35_3,3,1
STEESE,35_3,3,4
STEESE,35_3,3,1
STEESE,35_3,3,44
STEESE,35_3,3,0
STEESE,35_3,3,24
STEESE,35_3,3,3
STEESE,35_3,3,4
STEESE,35_3,3,5
STEESE,35_3,3,6
STEESE,35_3,3,6
STEESE,35_3,3,4
STEESE,35_3,3,14
STEESE,35_3,3,1
STEESE,35_3,3,24
STEESE,35_3,3,17
STEESE,35_3,3,33
STEESE,35_3,3,6
STEESE,35_3,3,42
STEESE,35_3,3,
STEESE,24_3,3,1
STEESE,24_3,3,2
STEESE,24_3,3,1
STEESE,24_3,3,1
STEESE,24_3,3,15
STEESE,24_3,3,3
STEESE,24_3,3,1
STEESE,24_3,3,1
STEESE,24_3,3,0
STEESE,24_3,3,0
STEESE,24_3,3,1
STEESE,24_3,3,3
STEESE,24_3,3,7
STEESE,24_3,3,23
STEESE,24_3,3,3
STEESE,24_3,3,3
STEESE,24_3,3,20
STEESE,24_3,3,4
STEESE,24_3,3,1
STEESE,24_3,3,2
STEESE,24_3,3,21
STEESE,24_3,3,0
STEESE,24_3,3,3
STEESE,24_3,3,0
STEESE,24_3,3,3
STEESE,24_3,3,31
STEESE,24_3,3,1
STEESE,24_3,3,0
STEESE,24_3,3,11
STEESE,24_3,3,1
STEESE,24_3,3,1
STEESE,24_3,3,
STEESE,26_2,2,29
STEESE,26_2,2,65
STEESE,26_2,2,10
STEESE,26_2,2,72
STEESE,26_2,2,45
STEESE,26_2,2,112
STEESE,26_2,2,53
STEESE,26_2,2,38
STEESE,26_2,2,34
STEESE,26_2,2,4
STEESE,26_2,2,3
STEESE,26_2,2,19
STEESE,26_2,2,31
STEESE,26_2,2,30
STEESE,26_2,2,22
STEESE,26_2,2,29
STEESE,26_2,2,7
STEESE,26_2,2,9
STEESE,26_2,2,29
STEESE,26_2,2,59
STEESE,26_2,2,98
STEESE,26_2,2,49
STEESE,26_2,2,62
STEESE,26_2,2,49
STEESE,26_2,2,3
STEESE,26_2,2,74
STEESE,26_2,2,21
STEESE,26_2,2,15
STEESE,26_2,2,34
STEESE,26_2,2,63
STEESE,33_1,1,4
STEESE,33_1,1,41
STEESE,33_1,1,56
STEESE,33_1,1,24
STEESE,33_1,1,21
STEESE,33_1,1,28
STEESE,33_1,1,9
STEESE,33_1,1,9
STEESE,33_1,1,30
STEESE,33_1,1,19
STEESE,33_1,1,6
STEESE,33_1,1,83
STEESE,33_1,1,7
STEESE,33_1,1,32
STEESE,33_1,1,76
STEESE,33_1,1,13
STEESE,33_1,1,56
STEESE,33_1,1,5
STEESE,33_1,1,3
STEESE,33_1,1,8
STEESE,33_1,1,17
STEESE,33_1,1,19
STEESE,33_1,1,12
STEESE,33_1,1,9
STEESE,33_1,1,7
STEESE,33_1,1,22
STEESE,33_1,1,12
STEESE,33_1,1,2
STEESE,33_1,1,29
STEESE,33_1,1,36
STEESE,18_1,1,8
STEESE,18_1,1,30
STEESE,18_1,1,10
STEESE,18_1,1,4
STEESE,18_1,1,16
STEESE,18_1,1,34
STEESE,18_1,1,50
STEESE,18_1,1,1
STEESE,18_1,1,24
STEESE,18_1,1,45
STEESE,18_1,1,18
STEESE,18_1,1,30
STEESE,18_1,1,12
STEESE,18_1,1,43
STEESE,18_1,1,8
STEESE,18_1,1,22
STEESE,18_1,1,32
STEESE,18_1,1,0
STEESE,18_1,1,13
STEESE,18_1,1,10
STEESE,18_1,1,24
STEESE,18_1,1,23
STEESE,18_1,1,7
STEESE,18_1,1,26
STEESE,18_1,1,32
STEESE,18_1,1,43
STEESE,18_1,1,47
STEESE,18_1,1,33
STEESE,18_1,1,22
STEESE,18_1,1,17
STEESE,29_1,1,7
STEESE,29_1,1,62
STEESE,29_1,1,17
STEESE,29_1,1,20
STEESE,29_1,1,47
STEESE,29_1,1,24
STEESE,29_1,1,32
STEESE,29_1,1,37
STEESE,29_1,1,69
STEESE,29_1,1,4
