"Site","Plot","Fires","Frame","Species","Distance_m","Distance_ft","Live.Dead"
"DALTON","39_2",2,7,"PIME",NA,3,"D"
"DALTON","39_2",2,7,"SALIX",NA,4,"L"
"DALTON","39_2",2,7,"ALCR",NA,10.5,"L"
"DALTON","39_2",2,8,"BENE",NA,2,"L"
"DALTON","39_2",2,8,"PIME",NA,9.5,"D"
"DALTON","39_2",2,8,"SALIX",NA,4.5,"L"
"DALTON","39_2",2,8,"ALCR",0.17,NA,"L"
"DALTON","39_2",2,9,"BENE",NA,5.5,"L"
"DALTON","39_2",2,9,"PIME",NA,12,"D"
"DALTON","39_2",2,9,"SALIX",NA,5.5,"L"
"DALTON","39_2",2,9,"ALCR",NA,7.5,"L"
"DALTON","39_2",2,10,"BENE",NA,2.5,"L"
"DALTON","39_2",2,10,"PIME",NA,8.5,"D"
"DALTON","39_2",2,10,"SALIX",NA,6,"L"
"DALTON","39_2",2,10,"ALCR",NA,9.5,"L"
"DALTON","52_1",1,1,"BENE",NA,34.5,"L"
"DALTON","52_1",1,1,"PIME",NA,3,"L"
"DALTON","52_1",1,1,"SALIX",NA,13,"L"
"DALTON","52_1",1,1,"POTR",NA,14.5,"D"
"DALTON","52_1",1,1,"ALCR",NA,3,"L"
"DALTON","52_1",1,2,"BENE",NA,22.5,"L"
"DALTON","52_1",1,2,"PIME",NA,6.5,"D"
"DALTON","52_1",1,2,"SALIX",NA,21,"L"
"DALTON","52_1",1,2,"POTR",NA,40.5,"L"
"DALTON","52_1",1,2,"ALCR",NA,13.5,"L"
"DALTON","52_1",1,3,"BENE",NA,43,"L"
"DALTON","52_1",1,3,"PIME",NA,7,"D"
"DALTON","52_1",1,3,"SALIX",NA,8.5,"L"
"DALTON","52_1",1,3,"POTR",NA,23,"L"
"DALTON","52_1",1,3,"ALCR",NA,25.5,"L"
"DALTON","52_1",1,4,"BENE",NA,41,"L"
"DALTON","52_1",1,4,"PIME",NA,5,"D"
"DALTON","52_1",1,4,"SALIX",NA,13,"L"
"DALTON","52_1",1,4,"POTR",NA,25.5,"L"
"DALTON","52_1",1,4,"ALCR",NA,24.5,"L"
"DALTON","52_1",1,5,"BENE",NA,39,"L"
"DALTON","52_1",1,5,"PIME",2,NA,"D"
"DALTON","52_1",1,5,"SALIX",NA,18,"L"
"DALTON","52_1",1,5,"POTR",NA,18,"L"
"DALTON","52_1",1,5,"ALCR",NA,11.5,"L"
"DALTON","52_1",1,6,"BENE",NA,40.5,"L"
"DALTON","52_1",1,6,"PIME",NA,3,"D"
"DALTON","52_1",1,6,"SALIX",NA,11,"L"
"DALTON","52_1",1,6,"POTR",NA,11.5,"L"
"DALTON","52_1",1,6,"ALCR",NA,5.5,"L"
"DALTON","52_1",1,7,"BENE",NA,30,"L"
"DALTON","52_1",1,7,"PIME",NA,2,"L"
"DALTON","52_1",1,7,"SALIX",NA,5.5,"L"
"DALTON","52_1",1,7,"POTR",NA,24,"L"
"DALTON","52_1",1,7,"ALCR",NA,2.5,"L"
"DALTON","52_1",1,8,"BENE",NA,24.5,"L"
"DALTON","52_1",1,8,"PIME",NA,4,"D"
"DALTON","52_1",1,8,"SALIX",NA,15.5,"L"
"DALTON","52_1",1,8,"POTR",NA,41.5,"L"
"DALTON","52_1",1,8,"ALCR",NA,30,"L"
"DALTON","52_1",1,9,"BENE",NA,44,"L"
"DALTON","52_1",1,9,"PIME",NA,4,"D"
"DALTON","52_1",1,9,"SALIX",NA,18,"L"
"DALTON","52_1",1,9,"POTR",NA,23.5,"L"
"DALTON","52_1",1,9,"ALCR",NA,20.5,"L"
"DALTON","52_1",1,10,"BENE",NA,24.5,"L"
"DALTON","52_1",1,10,"PIME",0.4,NA,"L"
"DALTON","52_1",1,10,"SALIX",NA,8,"L"
"DALTON","52_1",1,10,"POTR",NA,10,"L"
"DALTON","52_1",1,10,"ALCR",NA,7,"L"
"DALTON","7_3",3,1,"BENE",0.6,NA,"L"
"DALTON","7_3",3,1,"SALIX",NA,4,"L"
"DALTON","7_3",3,1,"ALCR",NA,5,"L"
"DALTON","7_3",3,2,"BENE",0.6,NA,"L"
"DALTON","7_3",3,2,"SALIX",1.5,NA,"L"
"DALTON","7_3",3,2,"ALCR",0.75,NA,"L"
"DALTON","7_3",3,3,"BENE",1.1,NA,"L"
"DALTON","7_3",3,3,"SALIX",NA,5,"L"
"DALTON","7_3",3,3,"ALCR",0.7,NA,"L"
"DALTON","7_3",3,4,"BENE",0.5,NA,"L"
"DALTON","7_3",3,4,"SALIX",0.4,NA,"L"
"DALTON","7_3",3,4,"ALCR",1.2,NA,"L"
