tree,maxfuel,minfuel
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1086_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1087_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1088_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1089_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree109_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1090_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1091_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1092_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1093_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1094_vegout.csv,0.2,0.2
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1095_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1096_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1097_vegout.csv,0.05,0.022208
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1098_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1099_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree11_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree110_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1100_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1101_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1102_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1103_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1104_vegout.csv,0.25,0.25
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1105_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1106_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1107_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1108_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1109_vegout.csv,0.25,2.5e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree111_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1110_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1111_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1112_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1113_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1114_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1115_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1116_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1117_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1118_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1119_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree112_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1120_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1121_vegout.csv,0.1,0.013883
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1122_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1123_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1124_vegout.csv,0.2,0.2
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1125_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1126_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1127_vegout.csv,0.1,0.091099
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1128_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1129_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree113_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1130_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1131_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1132_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1133_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1134_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1135_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1136_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1137_vegout.csv,0.2,0.2
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1138_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1139_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree114_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1140_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1141_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1142_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1143_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1144_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1145_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1146_vegout.csv,0.2,0.2
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1147_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1148_vegout.csv,0.15,0.022977
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1149_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree115_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1150_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1151_vegout.csv,0.15,0.10498
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1152_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1153_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1154_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1155_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1156_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1157_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1158_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1159_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree116_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1160_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1161_vegout.csv,0.15,0.15
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1162_vegout.csv,0.1,0.1
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1163_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1164_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1165_vegout.csv,0.05,0.05
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1166_vegout.csv,0.25,0.25
Z:/Research/Hoffman/ak2/ak/1x_meanfuel_modwx/tree/1x_ex_tree1167_vegout.csv,0.05,0.05
