Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
STEESE,19_2,2,8,SALIX,1.49,,L
STEESE,19_2,2,8,BENE,2,,L
STEESE,19_2,2,8,POTR,0.6,,L
STEESE,19_2,2,8,ALCR,3.63,,L
STEESE,19_2,2,9,PIME,0.54,,D
STEESE,19_2,2,9,SALIX,1.24,,L
STEESE,19_2,2,9,BENE,2.12,,L
STEESE,19_2,2,9,POTR,1.46,,L
STEESE,19_2,2,9,ALCR,,40,L
STEESE,19_2,2,10,PIME,0.68,,D
STEESE,19_2,2,10,SALIX,0.67,,L
STEESE,19_2,2,10,BENE,2.93,,L
STEESE,19_2,2,10,POTR,3.75,,L
STEESE,19_2,2,10,ALCR,,36.5,L
STEESE,3_2,2,1,BENE,4.2,,L
STEESE,3_2,2,1,POTR,0.8,,L
STEESE,3_2,2,1,ARCTO,2.97,,L
STEESE,3_2,2,1,PIME,0.7,,D
STEESE,3_2,2,1,ALCR,3.95,,L
STEESE,3_2,2,2,BENE,2.43,,L
STEESE,3_2,2,2,POTR,3.83,,L
STEESE,3_2,2,2,ARCTO,6.77,,L
STEESE,3_2,2,2,PIME,0.3,,D
STEESE,3_2,2,2,ALCR,0.6,,L
STEESE,3_2,2,3,BENE,0.64,,L
STEESE,3_2,2,3,POTR,2.55,,L
STEESE,3_2,2,3,ARCTO,3.12,,L
STEESE,3_2,2,3,PIME,0.37,,D
STEESE,3_2,2,3,ALCR,6.52,,L
STEESE,3_2,2,4,BENE,2.36,,L
STEESE,3_2,2,4,POTR,4.54,,L
STEESE,3_2,2,4,ARCTO,3.24,,L
STEESE,3_2,2,4,PIME,0.66,,L
STEESE,3_2,2,4,ALCR,2.94,,L
STEESE,3_2,2,5,BENE,2.27,,L
STEESE,3_2,2,5,POTR,2.82,,L
STEESE,3_2,2,5,ARCTO,2.91,,L
STEESE,3_2,2,5,PIME,0.77,,D
STEESE,3_2,2,5,ALCR,9.15,,L
STEESE,3_2,2,6,BENE,1.64,,L
STEESE,3_2,2,6,POTR,3.3,,L
STEESE,3_2,2,6,ARCTO,5.35,,L
STEESE,3_2,2,6,PIME,0.7,,D
STEESE,3_2,2,6,ALCR,7.42,,L
STEESE,3_2,2,7,BENE,2.84,,L
STEESE,3_2,2,7,POTR,1.55,,L
STEESE,3_2,2,7,ARCTO,2.97,,L
STEESE,3_2,2,7,PIME,1.1,,L
