Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
DALTON,52_1,1,4,BENE,,41,L
DALTON,52_1,1,4,PIME,,5,D
DALTON,52_1,1,4,SALIX,,13,L
DALTON,52_1,1,4,POTR,,25.5,L
DALTON,52_1,1,4,ALCR,,24.5,L
DALTON,52_1,1,5,BENE,,39,L
DALTON,52_1,1,5,PIME,2,,D
DALTON,52_1,1,5,SALIX,,18,L
DALTON,52_1,1,5,POTR,,18,L
DALTON,52_1,1,5,ALCR,,11.5,L
DALTON,52_1,1,6,BENE,,40.5,L
DALTON,52_1,1,6,PIME,,3,D
DALTON,52_1,1,6,SALIX,,11,L
DALTON,52_1,1,6,POTR,,11.5,L
DALTON,52_1,1,6,ALCR,,5.5,L
DALTON,52_1,1,7,BENE,,30,L
DALTON,52_1,1,7,PIME,,2,L
DALTON,52_1,1,7,SALIX,,5.5,L
DALTON,52_1,1,7,POTR,,24,L
DALTON,52_1,1,7,ALCR,,2.5,L
DALTON,52_1,1,8,BENE,,24.5,L
DALTON,52_1,1,8,PIME,,4,D
DALTON,52_1,1,8,SALIX,,15.5,L
DALTON,52_1,1,8,POTR,,41.5,L
DALTON,52_1,1,8,ALCR,,30,L
DALTON,52_1,1,9,BENE,,44,L
DALTON,52_1,1,9,PIME,,4,D
DALTON,52_1,1,9,SALIX,,18,L
DALTON,52_1,1,9,POTR,,23.5,L
DALTON,52_1,1,9,ALCR,,20.5,L
DALTON,52_1,1,10,BENE,,24.5,L
DALTON,52_1,1,10,PIME,0.4,,L
DALTON,52_1,1,10,SALIX,,8,L
DALTON,52_1,1,10,POTR,,10,L
DALTON,52_1,1,10,ALCR,,7,L
DALTON,7_3,3,1,BENE,0.6,,L
DALTON,7_3,3,1,SALIX,,4,L
DALTON,7_3,3,1,ALCR,,5,L
DALTON,7_3,3,2,BENE,0.6,,L
DALTON,7_3,3,2,SALIX,1.5,,L
DALTON,7_3,3,2,ALCR,0.75,,L
DALTON,7_3,3,3,BENE,1.1,,L
DALTON,7_3,3,3,SALIX,,5,L
DALTON,7_3,3,3,ALCR,0.7,,L
DALTON,7_3,3,4,BENE,0.5,,L
DALTON,7_3,3,4,SALIX,0.4,,L
DALTON,7_3,3,4,ALCR,1.2,,L
DALTON,7_3,3,5,BENE,0.6,,L
DALTON,7_3,3,5,SALIX,1.35,,L
DALTON,7_3,3,5,ALCR,1,,L
DALTON,7_3,3,6,BENE,0.6,,L
DALTON,7_3,3,6,SALIX,1.4,,L
DALTON,7_3,3,6,ALCR,1.4,,L
DALTON,7_3,3,7,BENE,4.4,,L
DALTON,7_3,3,7,SALIX,1,,L
DALTON,7_3,3,7,ALCR,2.2,,L
DALTON,7_3,3,8,BENE,0.7,,L
DALTON,7_3,3,8,SALIX,1.55,,L
DALTON,7_3,3,8,ALCR,1.1,,L
DALTON,7_3,3,9,BENE,0.76,,L
DALTON,7_3,3,9,SALIX,0.9,,L
DALTON,7_3,3,9,ALCR,2.1,,L
DALTON,7_3,3,10,BENE,0.7,,D
DALTON,7_3,3,10,SALIX,1,,L
DALTON,7_3,3,10,ALCR,1.5,,L
DALTON,37_3,3,1,BENE,2.55,,L
DALTON,37_3,3,1,SALIX,0.5,,D
DALTON,37_3,3,1,ALCR,2.1,,L
DALTON,37_3,3,2,BENE,0.9,,L
DALTON,37_3,3,2,SALIX,1,,L
DALTON,37_3,3,2,ALCR,2.2,,L
DALTON,37_3,3,3,BENE,0.4,,L
DALTON,37_3,3,3,SALIX,0.94,,L
DALTON,37_3,3,3,ALCR,1.45,,L
DALTON,37_3,3,4,BENE,0.8,,L
DALTON,37_3,3,4,SALIX,0.6,,L
DALTON,37_3,3,4,ALCR,1.2,,L
DALTON,37_3,3,5,BENE,2.15,,L
DALTON,37_3,3,5,SALIX,1.6,,L
DALTON,37_3,3,5,ALCR,3.6,,L
DALTON,37_3,3,6,BENE,3.1,,L
DALTON,37_3,3,6,SALIX,1.05,,L
DALTON,37_3,3,6,ALCR,3.9,,L
DALTON,37_3,3,6,UNK,1.5,,D
DALTON,37_3,3,7,BENE,1.1,,L
DALTON,37_3,3,7,SALIX,1.2,,L
DALTON,37_3,3,7,ALCR,4.1,,L
DALTON,37_3,3,8,BENE,2.7,,L
DALTON,37_3,3,8,SALIX,1.9,,L
DALTON,37_3,3,8,ALCR,2.8,,L
DALTON,37_3,3,9,BENE,1.3,,L
DALTON,37_3,3,9,SALIX,2.9,,L
DALTON,37_3,3,9,ALCR,0.7,,L
DALTON,37_3,3,10,BENE,0.2,,L
DALTON,37_3,3,10,SALIX,0.9,,L
DALTON,37_3,3,10,ALCR,0.6,,L
DALTON,14_3,3,1,BENE,1,,L
DALTON,14_3,3,1,SALIX,2.3,,L
DALTON,14_3,3,1,ALCR,2.6,,L
DALTON,14_3,3,2,BENE,0.4,,L
DALTON,14_3,3,2,SALIX,2.16,,L
DALTON,14_3,3,2,ALCR,1.6,,L
DALTON,14_3,3,3,BENE,1.2,,L
DALTON,14_3,3,3,SALIX,0.9,,L
DALTON,14_3,3,3,ALCR,0.9,,L
DALTON,14_3,3,4,BENE,1.25,,L
DALTON,14_3,3,4,SALIX,2.2,,L
DALTON,14_3,3,4,ALCR,3,,L
DALTON,14_3,3,5,BENE,2.5,,L
DALTON,14_3,3,5,SALIX,1.4,,L
DALTON,14_3,3,5,ALCR,3.1,,L
DALTON,14_3,3,6,BENE,0.9,,L
DALTON,14_3,3,6,SALIX,1.5,,L
DALTON,14_3,3,6,ALCR,0.5,,L
DALTON,14_3,3,7,BENE,3.1,,L
DALTON,14_3,3,7,SALIX,1,,L
DALTON,14_3,3,7,ALCR,5.2,,L
DALTON,14_3,3,8,BENE,3.2,,L
DALTON,14_3,3,8,SALIX,0.7,,L
DALTON,14_3,3,8,ALCR,2,,L
DALTON,14_3,3,9,BENE,4.2,,L
DALTON,14_3,3,9,SALIX,1.2,,L
DALTON,14_3,3,9,ALCR,0.65,,L
DALTON,14_3,3,10,BENE,1.33,,L
DALTON,14_3,3,10,SALIX,1.4,,L
DALTON,14_3,3,10,ALCR,1.45,,L
DALTON,55_3,3,1,BENE,0.4,,L
DALTON,55_3,3,1,SALIX,1.3,,L
DALTON,55_3,3,1,ALCR,3.3,,L
DALTON,55_3,3,2,BENE,0.35,,L
DALTON,55_3,3,2,SALIX,1.2,,L
DALTON,55_3,3,2,ALCR,2.5,,L
DALTON,55_3,3,3,BENE,0.8,,L
DALTON,55_3,3,3,SALIX,1.45,,L
DALTON,55_3,3,3,ALCR,5.8,,L
DALTON,55_3,3,4,BENE,1,,L
DALTON,55_3,3,4,SALIX,1.05,,L
DALTON,55_3,3,4,ALCR,1.46,,L
DALTON,55_3,3,4,UNK,0.6,,D
DALTON,55_3,3,5,BENE,0.75,,L
DALTON,55_3,3,5,SALIX,2.2,,L
DALTON,55_3,3,5,ALCR,4.04,,L
DALTON,55_3,3,6,BENE,1.25,,L
DALTON,55_3,3,6,SALIX,0.97,,L
DALTON,55_3,3,6,ALCR,,27,L
DALTON,55_3,3,7,BENE,0.48,,L
DALTON,55_3,3,7,SALIX,1.44,,L
DALTON,55_3,3,7,ALCR,4.2,,L
DALTON,55_3,3,8,BENE,0.65,,L
DALTON,55_3,3,8,SALIX,2,,L
DALTON,55_3,3,8,ALCR,5.84,,L
DALTON,55_3,3,9,BENE,0.36,,L
DALTON,55_3,3,9,SALIX,1.9,,L
DALTON,55_3,3,9,ALCR,,17,L
DALTON,55_3,3,10,BENE,0.9,,L
DALTON,55_3,3,10,SALIX,1.13,,L
DALTON,55_3,3,10,ALCR,7.8,,L
DALTON,15_3,3,1,BENE,0.7,,L
DALTON,15_3,3,1,SALIX,3,,L
DALTON,15_3,3,1,ALCR,3.13,,L
DALTON,15_3,3,1,POTR,,18.5,L
DALTON,15_3,3,2,BENE,0.4,,L
DALTON,15_3,3,2,SALIX,,22,L
DALTON,15_3,3,2,ALCR,4.17,,L
DALTON,15_3,3,3,BENE,0.55,,L
DALTON,15_3,3,3,SALIX,,20.5,L
DALTON,15_3,3,3,ALCR,4.1,,L
DALTON,15_3,3,4,BENE,0.4,,L
DALTON,15_3,3,4,SALIX,2.1,,L
DALTON,15_3,3,4,ALCR,4.2,,L
DALTON,15_3,3,5,BENE,0.45,,L
DALTON,15_3,3,5,SALIX,3.76,,L
DALTON,15_3,3,5,ALCR,5.7,,L
DALTON,15_3,3,6,BENE,0.33,,L
DALTON,15_3,3,6,SALIX,4.92,,L
DALTON,15_3,3,6,ALCR,4.4,,L
DALTON,15_3,3,7,BENE,0.6,,L
DALTON,15_3,3,7,SALIX,5.3,,L
DALTON,15_3,3,7,ALCR,1.5,,L
DALTON,15_3,3,8,BENE,0.45,,L
DALTON,15_3,3,8,SALIX,3.36,,L
DALTON,15_3,3,8,ALCR,2,,L
DALTON,15_3,3,9,BENE,0.6,,L
DALTON,15_3,3,9,SALIX,1.4,,L
DALTON,15_3,3,9,ALCR,,30,L
DALTON,15_3,3,10,BENE,0.5,,L
DALTON,15_3,3,10,SALIX,2.1,,L
DALTON,15_3,3,10,ALCR,2.1,,L
DALTON,54_3,3,1,BENE,1.7,,L
DALTON,54_3,3,1,SALIX,1.5,,L
DALTON,54_3,3,1,POTR,,33,L
DALTON,54_3,3,2,BENE,0.9,,L
DALTON,54_3,3,2,SALIX,1.76,,L
DALTON,54_3,3,2,POTR,1.9,,L
DALTON,54_3,3,3,BENE,0.68,,L
DALTON,54_3,3,3,SALIX,3,,L
DALTON,54_3,3,3,POTR,7.3,,L
DALTON,54_3,3,3,PIME,1.8,,D
DALTON,54_3,3,4,BENE,0.7,,L
DALTON,54_3,3,4,SALIX,2,,L
DALTON,54_3,3,4,POTR,1.6,,L
DALTON,54_3,3,5,BENE,1.1,,L
DALTON,54_3,3,5,SALIX,2.4,,L
DALTON,54_3,3,5,POTR,9.36,,L
DALTON,54_3,3,6,BENE,2.3,,L
DALTON,54_3,3,6,SALIX,2.6,,L
DALTON,54_3,3,6,POTR,2.9,,L
DALTON,54_3,3,7,BENE,1,,L
DALTON,54_3,3,7,SALIX,1.07,,L
DALTON,54_3,3,7,POTR,5,,L
DALTON,54_3,3,8,BENE,0.45,,L
DALTON,54_3,3,8,SALIX,0.5,,L
